#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.09  0.35  0.14886 -2.615 3.489  5.126  9.70  0.036 0.00 21.006 26.844 25.156 23.464 22.180 20.571 19.120 18.584 18.307  0.149 
 1   9.11 -0.19  0.10509 -2.984 3.465  5.249 10.90  0.038 0.00 23.129 30.228 27.962 26.057 24.584 22.772 21.192 20.637 20.366  0.105 
 1   9.11 -0.13  0.27381 -1.954 3.563  5.029  8.40  0.031 0.89 17.410 21.552 20.265 18.821 17.829 16.771 15.698 15.118 14.901  0.274 
 1   9.11  0.09  0.48224 -1.436 3.590  4.862  9.60  0.036 0.00 17.960 21.538 20.444 19.159 18.241 17.309 16.297 15.659 15.505  0.482 
 1   9.11  0.13  0.25120 -2.060 3.545  5.023 10.30  0.037 0.90 19.582 24.111 22.752 21.256 20.208 18.987 17.825 17.256 17.016  0.251 
 1   9.11  0.15  0.13533 -2.727 3.480  5.160 10.70  0.037 0.00 22.287 28.436 26.646 24.908 23.571 21.887 20.377 19.841 19.559  0.135 
 1   9.11  0.17  0.15203 -2.587 3.492  5.123 10.90  0.038 0.86 21.584 27.499 25.791 24.088 22.791 21.161 19.690 19.154 18.875  0.152 
 1   9.11  0.45  0.55558 -1.259 3.603  4.799  6.10  0.016 0.00 14.019 17.452 16.365 15.153 14.281 13.376 12.373 11.671 11.553  0.556 
 1   9.13 -0.21  0.21960 -2.126 3.557  5.078 11.20  0.038 0.00 21.286 25.575 24.217 22.725 21.721 20.658 19.577 18.998 18.771  0.220 
 1   9.13 -0.15  0.21358 -2.159 3.552  5.080  9.00  0.034 0.00 19.168 23.560 22.178 20.673 19.657 18.547 17.445 16.869 16.634  0.214 
 1   9.13  0.01  0.13220 -2.738 3.483  5.176 11.10  0.038 0.00 22.716 28.776 27.005 25.277 23.958 22.302 20.815 20.278 19.999  0.132 
 1   9.13  0.03  0.23196 -2.117 3.546  5.050 10.80  0.038 0.80 20.347 24.941 23.566 22.059 21.000 19.759 18.581 18.017 17.774  0.232 
 1   9.13  0.19  0.80999 -0.613 3.677  4.612 10.10  0.037 0.00 16.403 18.734 17.880 16.830 16.203 15.713 15.010 14.441 14.370  0.810 
 1   9.13  0.21  0.22496 -2.164 3.536  5.043  7.40  0.024 0.00 17.581 22.216 20.835 19.325 18.257 16.993 15.804 15.243 15.000  0.225 
 1   9.13  0.25  0.52005 -1.350 3.594  4.826 10.00  0.037 0.00 18.145 21.685 20.602 19.352 18.445 17.507 16.486 15.820 15.680  0.520 
 1   9.15 -0.47  0.20963 -2.112 3.572  5.104  9.60  0.036 0.00 19.650 23.557 22.300 20.846 19.881 18.988 17.984 17.409 17.203  0.210 
 1   9.15 -0.21  0.09523 -3.154 3.443  5.289  2.60  0.004 0.82 14.937 23.247 20.625 18.604 16.906 14.849 12.908 12.339 12.053  0.095 
 1   9.15 -0.19  0.32021 -1.814 3.575  5.003  9.60  0.036 0.00 18.905 22.704 21.530 20.151 19.195 18.240 17.220 16.636 16.444  0.320 
