Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.31  0.11  0.92929 -0.284 3.725  4.536  7.40  0.036 0.00 12.879 14.360 13.917 13.064 12.587 12.195 11.657 11.230 11.182  0.929
 1   9.33 -0.25  0.08143 -3.543 3.378  5.352  7.70  0.036 0.98 20.657 32.108 28.214 25.820 23.578 21.120 18.563 17.960 17.651  0.081
 1   9.33 -0.07  0.50219 -1.363 3.601  4.851 10.10  0.038 0.00 18.277 21.621 20.553 19.276 18.403 17.616 16.673 16.011 15.874  0.502
 1   9.33 -0.01  0.14180 -2.651 3.492  5.155  8.60  0.038 0.86 19.443 25.411 23.669 21.954 20.652 19.018 17.548 17.010 16.732  0.142
 1   9.33 -0.01  0.68031 -0.910 3.644  4.704  9.10  0.038 0.78 15.778 18.701 17.696 16.521 15.757 15.122 14.267 13.596 13.492  0.680
 1   9.33  0.01  0.42683 -1.559 3.582  4.899  7.80  0.037 0.00 16.467 20.171 19.053 17.734 16.791 15.809 14.779 14.173 13.999  0.427
 1   9.33  0.07  0.08527 -3.389 3.399  5.300  7.40  0.036 0.73 20.527 30.640 27.357 25.157 23.149 20.811 18.533 17.924 17.506  0.085
 1   9.33  0.23  0.19352 -2.299 3.525  5.071  7.50  0.036 0.00 18.019 22.880 21.452 19.906 18.798 17.459 16.218 15.666 15.416  0.194
 1   9.33  0.25  0.12016 -2.863 3.465  5.187  7.40  0.036 0.93 18.660 25.461 23.454 21.632 20.176 18.345 16.703 16.168 15.878  0.120
 1   9.33  0.35  0.27174 -2.005 3.545  5.005  8.80  0.038 1.00 17.834 22.299 20.956 19.472 18.435 17.235 16.085 15.513 15.275  0.272
 1   9.35 -0.45  0.36845 -1.628 3.599  4.976 12.20  0.038 0.95 20.353 23.623 22.601 21.296 20.419 19.673 18.759 18.150 17.988  0.368
 1   9.35 -0.21  0.10586 -2.971 3.467  5.248  6.30  0.031 0.83 18.101 25.457 23.146 21.223 19.707 17.831 16.126 15.574 15.296  0.106
 1   9.35 -0.15  0.75019 -0.666 3.681  4.649  9.70  0.038 0.00 16.135 18.232 17.527 16.533 15.938 15.458 14.770 14.205 14.134  0.750
 1   9.35 -0.11  0.20115 -2.211 3.547  5.085  9.60  0.038 0.00 19.897 24.397 22.998 21.480 20.447 19.290 18.161 17.588 17.349  0.201
 1   9.35 -0.09  0.30684 -1.863 3.567  5.002 10.40  0.038 0.00 19.827 23.821 22.596 21.193 20.216 19.182 18.123 17.539 17.334  0.307
 1   9.35 -0.05  0.25753 -2.014 3.556  5.032  9.80  0.038 0.91 18.955 23.275 21.949 20.478 19.466 18.336 17.227 16.650 16.420  0.258
 1   9.35 -0.05  0.09966 -3.073 3.450  5.255 10.10  0.038 0.00 22.553 30.019 27.723 25.804 24.239 22.295 20.566 20.025 19.739  0.100
 1   9.35 -0.01  0.42423 -1.565 3.582  4.905  8.80  0.038 0.00 17.483 21.178 20.058 18.736 17.796 16.824 15.799 15.193 15.020  0.424
 1   9.35 -0.01  0.20953 -2.196 3.543  5.072  9.00  0.038 0.00 19.260 23.795 22.425 20.923 19.876 18.663 17.505 16.937 16.697  0.210
 1   9.35 -0.01  0.27089 -1.981 3.556  5.021 12.70  0.038 0.00 22.423 26.672 25.381 23.934 22.928 21.801 20.696 20.116 19.892  0.271
 1   9.35  0.03  0.22245 -2.151 3.544  5.057  9.90  0.038 0.94 19.358 23.897 22.531 21.031 19.982 18.763 17.601 17.034 16.794  0.222
 1   9.35  0.05  0.09640 -3.141 3.438  5.260  8.00  0.037 0.00 20.623 28.568 26.128 24.164 22.509 20.464 18.604 18.066 17.772  0.096
 1   9.35  0.13  0.37529 -1.704 3.568  4.935 10.00  0.038 0.00 19.030 23.004 21.827 20.469 19.487 18.393 17.306 16.716 16.518  0.375
 1   9.35  0.19  0.08545 -3.374 3.399  5.287  9.20  0.038 0.00 22.405 32.367 29.110 26.915 24.913 22.577 20.313 19.760 19.456  0.085
 1   9.37 -0.31  0.08519 -3.427 3.400  5.344  8.40  0.037 0.78 21.566 31.766 28.439 26.230 24.212 21.878 19.575 18.926 18.516  0.085
 1   9.37 -0.29  0.31354 -1.811 3.580  5.010  7.90  0.037 0.00 17.198 20.900 19.742 18.365 17.424 16.531 15.537 14.949 14.761  0.314
 1   9.37 -0.25  0.37275 -1.660 3.587  4.962  7.80  0.037 0.00 16.720 20.287 19.174 17.833 16.913 16.051 15.075 14.472 14.298  0.373
 1   9.37 -0.17  4.78528 -3.104 3.999  8.423  9.70  0.038 0.00 22.229 22.081 22.596 22.375 22.300 22.219 22.270 22.195 22.238  0.872
 1   9.37 -0.07  1.78279  3.233 3.550  0.546  7.50  0.036 0.88  4.188  9.458  8.097  6.477  5.273  4.033  2.466  1.505  1.329  1.571
 1   9.37 -0.07  0.46447 -1.455 3.593  4.877  9.20  0.038 0.00 17.606 21.093 20.004 18.705 17.804 16.945 15.970 15.334 15.182  0.464
